epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,4638.8,0.97505,0.9995,1.42709,0.649,0.73144,0.74031,0.48403,1.4698,1.65238,1.91331,0.000538,0.000538,0.000538
72,4705.51,0.86233,0.80798,1.26,0.649,0.73144,0.74031,0.48403,1.4698,1.65238,1.91331,0.0005314,0.0005314,0.0005314
73,4777.71,0.98428,0.94429,1.31744,0.8118,0.69675,0.7698,0.50845,1.46955,1.51933,1.91337,0.0005248,0.0005248,0.0005248
74,4846.6,0.84318,0.82358,1.27372,0.8118,0.69675,0.7698,0.50845,1.46955,1.51933,1.91337,0.0005182,0.0005182,0.0005182
75,4912.93,1.05264,1.02669,1.43457,0.77528,0.71204,0.74277,0.4991,1.51093,1.42372,1.97752,0.0005116,0.0005116,0.0005116
76,4981.88,0.981,0.98133,1.30942,0.72968,0.70224,0.74018,0.48665,1.53683,1.41422,2.02353,0.000505,0.000505,0.000505
77,5049.86,0.94071,0.93985,1.29038,0.72968,0.70224,0.74018,0.48665,1.53683,1.41422,2.02353,0.0004984,0.0004984,0.0004984
78,5121.05,1.04007,1.03218,1.39651,0.75982,0.7019,0.74404,0.49266,1.51847,1.42586,2.0154,0.0004918,0.0004918,0.0004918
79,5201.49,0.89469,1.01027,1.27635,0.80239,0.6512,0.73553,0.49064,1.50659,1.53978,2.00704,0.0004852,0.0004852,0.0004852
80,5269.03,1.06849,1.13487,1.48996,0.80239,0.6512,0.73553,0.49064,1.50659,1.53978,2.00704,0.0004786,0.0004786,0.0004786
81,5336.72,0.85737,0.89676,1.28523,0.77291,0.65854,0.72554,0.4814,1.49971,1.65333,1.99108,0.000472,0.000472,0.000472
82,5403.61,0.98602,1.0264,1.36071,0.77291,0.65854,0.72554,0.4814,1.49971,1.65333,1.99108,0.0004654,0.0004654,0.0004654
83,5469.58,0.99028,0.86277,1.35265,0.77225,0.67815,0.75055,0.48887,1.52351,1.66105,1.99466,0.0004588,0.0004588,0.0004588
84,5535.12,0.99634,0.9136,1.34984,0.71241,0.7521,0.7329,0.46933,1.563,1.62333,2.02368,0.0004522,0.0004522,0.0004522
85,5601.89,0.88327,0.79958,1.22784,0.71241,0.7521,0.7329,0.46933,1.563,1.62333,2.02368,0.0004456,0.0004456,0.0004456
86,5669.98,0.89441,0.83656,1.32214,0.779,0.6801,0.72125,0.46105,1.56367,1.55304,2.01788,0.000439,0.000439,0.000439
87,5736.91,0.97088,0.8401,1.32559,0.7725,0.68335,0.71256,0.44574,1.60436,1.52388,2.06613,0.0004324,0.0004324,0.0004324
88,5805.53,0.85637,0.7999,1.22942,0.7725,0.68335,0.71256,0.44574,1.60436,1.52388,2.06613,0.0004258,0.0004258,0.0004258
89,5870.84,0.99665,1.02351,1.34503,0.73016,0.71373,0.69805,0.42953,1.65347,1.50775,2.1211,0.0004192,0.0004192,0.0004192
90,5938.74,1.01377,0.91008,1.32523,0.73016,0.71373,0.69805,0.42953,1.65347,1.50775,2.1211,0.0004126,0.0004126,0.0004126
91,6005.29,0.92726,0.93214,1.30207,0.73056,0.68964,0.68938,0.42082,1.66634,1.48513,2.13507,0.000406,0.000406,0.000406
92,6073.83,1.00658,1.00616,1.41205,0.69572,0.69412,0.67372,0.43488,1.63121,1.48548,2.10033,0.0003994,0.0003994,0.0003994
93,6139.92,0.97227,0.81248,1.30142,0.69572,0.69412,0.67372,0.43488,1.63121,1.48548,2.10033,0.0003928,0.0003928,0.0003928
94,6206.73,0.94851,0.82483,1.26765,0.59069,0.70387,0.66871,0.45284,1.56974,1.56844,2.03484,0.0003862,0.0003862,0.0003862
95,6275.48,1.04133,0.88271,1.36201,0.56931,0.68459,0.66049,0.46164,1.48346,1.6126,1.92539,0.0003796,0.0003796,0.0003796
96,6342.5,0.89176,0.81653,1.2888,0.56931,0.68459,0.66049,0.46164,1.48346,1.6126,1.92539,0.000373,0.000373,0.000373
97,6407.7,0.80929,0.77925,1.22464,0.60674,0.64924,0.67003,0.47969,1.42521,1.60316,1.84612,0.0003664,0.0003664,0.0003664
98,6473.77,0.98199,0.81802,1.29168,0.60674,0.64924,0.67003,0.47969,1.42521,1.60316,1.84612,0.0003598,0.0003598,0.0003598
99,6539.09,0.8219,0.7764,1.28363,0.64193,0.6112,0.67517,0.49005,1.4017,1.55591,1.81348,0.0003532,0.0003532,0.0003532
100,6606.08,0.86988,0.67307,1.20154,0.67695,0.62072,0.67705,0.48385,1.41509,1.54603,1.82478,0.0003466,0.0003466,0.0003466
101,6674.2,0.91716,0.81924,1.29348,0.67695,0.62072,0.67705,0.48385,1.41509,1.54603,1.82478,0.00034,0.00034,0.00034
102,6740.17,0.92343,0.85932,1.34921,0.70545,0.6014,0.69704,0.47795,1.46594,1.53079,1.87348,0.0003334,0.0003334,0.0003334
103,6806.55,0.843,0.78076,1.18456,0.71372,0.6112,0.68135,0.45514,1.50089,1.54284,1.91651,0.0003268,0.0003268,0.0003268
104,6861.02,1.00911,0.89633,1.40757,0.71372,0.6112,0.68135,0.45514,1.50089,1.54284,1.91651,0.0003202,0.0003202,0.0003202
105,6914.59,0.9415,0.78423,1.27456,0.66806,0.58835,0.66239,0.43171,1.5602,1.59586,1.99261,0.0003136,0.0003136,0.0003136
106,6968.14,0.91423,0.72013,1.35717,0.66806,0.58835,0.66239,0.43171,1.5602,1.59586,1.99261,0.000307,0.000307,0.000307
107,7021.5,0.96988,0.79596,1.27898,0.63028,0.6451,0.65022,0.40732,1.65716,1.62524,2.10612,0.0003004,0.0003004,0.0003004
108,7075.78,0.88506,0.7149,1.22896,0.62923,0.61571,0.63697,0.38894,1.71081,1.64521,2.1812,0.0002938,0.0002938,0.0002938
109,7134.14,0.89469,0.74726,1.3023,0.62923,0.61571,0.63697,0.38894,1.71081,1.64521,2.1812,0.0002872,0.0002872,0.0002872
110,7191.07,0.9167,0.77385,1.30352,0.60936,0.61653,0.61336,0.37509,1.70515,1.72406,2.17262,0.0002806,0.0002806,0.0002806
111,7245.66,0.92233,0.78085,1.24783,0.58362,0.62633,0.61026,0.37353,1.67703,1.75374,2.15007,0.000274,0.000274,0.000274
112,7301.95,0.84048,0.7321,1.2437,0.58362,0.62633,0.61026,0.37353,1.67703,1.75374,2.15007,0.0002674,0.0002674,0.0002674
113,7359.23,0.92434,0.85237,1.29202,0.57736,0.63613,0.60784,0.37724,1.62805,1.75057,2.10836,0.0002608,0.0002608,0.0002608
114,7421.62,0.87506,0.81158,1.32963,0.57736,0.63613,0.60784,0.37724,1.62805,1.75057,2.10836,0.0002542,0.0002542,0.0002542
115,7478.72,0.80623,0.66302,1.20891,0.57233,0.64129,0.61358,0.3858,1.59103,1.74713,2.08508,0.0002476,0.0002476,0.0002476
116,7538.99,0.83606,0.70004,1.22406,0.563,0.63613,0.6149,0.38901,1.58112,1.68694,2.07028,0.000241,0.000241,0.000241
117,7593.47,0.83105,0.73822,1.20562,0.563,0.63613,0.6149,0.38901,1.58112,1.68694,2.07028,0.0002344,0.0002344,0.0002344
118,7648.03,0.89557,0.70142,1.28512,0.5846,0.62326,0.63245,0.40073,1.55474,1.65132,2.02639,0.0002278,0.0002278,0.0002278
119,7702.73,0.89837,0.74434,1.29458,0.60859,0.63081,0.64874,0.41422,1.56463,1.64299,2.01809,0.0002212,0.0002212,0.0002212
120,7755.75,0.88265,0.68917,1.2818,0.60859,0.63081,0.64874,0.41422,1.56463,1.64299,2.01809,0.0002146,0.0002146,0.0002146
121,7811.68,0.79493,0.75684,1.20463,0.65821,0.61478,0.65707,0.41416,1.56461,1.61815,2.01184,0.000208,0.000208,0.000208
122,7866.24,0.89952,0.78356,1.2874,0.65821,0.61478,0.65707,0.41416,1.56461,1.61815,2.01184,0.0002014,0.0002014,0.0002014
123,7922.67,0.89753,0.75135,1.29204,0.68696,0.61899,0.66659,0.4124,1.57115,1.61489,2.01802,0.0001948,0.0001948,0.0001948
124,7978.62,0.82742,0.64364,1.16363,0.68438,0.6014,0.67503,0.41012,1.57566,1.62104,2.02143,0.0001882,0.0001882,0.0001882
125,8032.54,0.85865,0.68591,1.18586,0.68438,0.6014,0.67503,0.41012,1.57566,1.62104,2.02143,0.0001816,0.0001816,0.0001816
126,8087.25,0.87671,0.75299,1.27785,0.60789,0.67003,0.6809,0.4179,1.57332,1.60776,2.02237,0.000175,0.000175,0.000175
127,8143.14,0.88169,0.74446,1.34706,0.59043,0.67125,0.6761,0.41625,1.56957,1.62416,2.00996,0.0001684,0.0001684,0.0001684
128,8199.23,0.83403,0.62315,1.15804,0.59043,0.67125,0.6761,0.41625,1.56957,1.62416,2.00996,0.0001618,0.0001618,0.0001618
129,8261.02,0.8734,0.75518,1.2936,0.6001,0.68103,0.6775,0.41576,1.56778,1.62026,2.00325,0.0001552,0.0001552,0.0001552
130,8315.44,0.87882,0.77748,1.26766,0.6001,0.68103,0.6775,0.41576,1.56778,1.62026,2.00325,0.0001486,0.0001486,0.0001486
131,8370.55,0.86377,0.75366,1.23751,0.62952,0.65178,0.6786,0.4139,1.57669,1.59542,2.01153,0.000142,0.000142,0.000142
132,8424.72,0.83142,0.75261,1.2583,0.6515,0.63671,0.67217,0.41013,1.58524,1.59299,2.01495,0.0001354,0.0001354,0.0001354
133,8481.23,0.84128,0.69813,1.21732,0.6515,0.63671,0.67217,0.41013,1.58524,1.59299,2.01495,0.0001288,0.0001288,0.0001288
134,8541.75,0.84224,0.68656,1.23813,0.66453,0.63613,0.66925,0.40866,1.58683,1.60081,2.01967,0.0001222,0.0001222,0.0001222
135,8599.24,0.86205,0.71899,1.25469,0.67068,0.63613,0.66579,0.41535,1.57833,1.60161,2.00322,0.0001156,0.0001156,0.0001156
136,8657.58,0.75542,0.66093,1.20701,0.67068,0.63613,0.66579,0.41535,1.57833,1.60161,2.00322,0.000109,0.000109,0.000109
137,8718.43,0.82228,0.63371,1.165,0.66943,0.63069,0.6606,0.41342,1.55832,1.58661,1.97968,0.0001024,0.0001024,0.0001024
138,8775.34,0.84057,0.71952,1.24834,0.66943,0.63069,0.6606,0.41342,1.55832,1.58661,1.97968,9.58e-05,9.58e-05,9.58e-05
139,8832.71,0.75732,0.59848,1.1673,0.67229,0.62921,0.66081,0.42331,1.55138,1.5817,1.97795,8.92e-05,8.92e-05,8.92e-05
